Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,snapshot_date
1,Shai Gilgeous-Alexander,27,OKC,PG,42,42,1401,454,828,0.548,81,206,0.393,373,622,0.6,0.597,345,387,0.891,19,163,182,259,56,34,83,87,1334,0,NA,2026-01-21
2,Tyrese Maxey,25,PHI,PG,40,40,1578,420,895,0.469,142,358,0.397,278,537,0.518,0.549,217,247,0.879,11,163,174,269,83,39,99,85,1199,0,NA,2026-01-21
3,Jaylen Brown,29,BOS,SF,39,39,1331,425,872,0.487,85,234,0.363,340,638,0.533,0.536,227,287,0.791,50,206,256,185,37,16,145,117,1162,1,NA,2026-01-21
4,Donovan Mitchell,29,CLE,SG,40,40,1360,401,827,0.485,153,398,0.384,248,429,0.578,0.577,204,243,0.84,34,159,193,227,60,10,120,98,1159,0,NA,2026-01-21
5,Luka Dončić,26,LAL,PG,34,34,1234,357,764,0.467,117,347,0.337,240,417,0.576,0.544,307,390,0.787,30,232,262,295,53,18,150,92,1138,5,NA,2026-01-21
6,Deni Avdija,25,POR,SF,41,41,1446,327,696,0.47,94,265,0.355,233,431,0.541,0.537,325,404,0.804,41,250,291,284,35,25,159,112,1073,3,NA,2026-01-21
7,Jalen Brunson,29,NYK,PG,38,38,1310,381,797,0.478,112,290,0.386,269,507,0.531,0.548,193,226,0.854,20,100,120,233,26,3,87,93,1067,0,NA,2026-01-21
8,Keyonte George,22,UTA,PG,43,43,1479,329,717,0.459,112,298,0.376,217,419,0.518,0.537,279,309,0.903,20,150,170,288,45,12,149,101,1049,0,NA,2026-01-21
9,Anthony Edwards,24,MIN,SG,35,35,1231,359,719,0.499,124,300,0.413,235,419,0.561,0.586,204,257,0.794,21,155,176,130,46,28,93,66,1046,0,NA,2026-01-21
10,James Harden,36,LAC,PG,40,40,1426,301,711,0.423,123,360,0.342,178,351,0.507,0.51,315,351,0.897,24,167,191,321,50,14,144,79,1040,2,NA,2026-01-21
11,Jamal Murray,28,DEN,PG,40,40,1417,371,758,0.489,136,303,0.449,235,455,0.516,0.579,162,181,0.895,18,156,174,295,40,13,93,65,1040,0,NA,2026-01-21
12,Devin Booker,29,PHO,SG,40,40,1365,332,733,0.453,65,215,0.302,267,518,0.515,0.497,283,328,0.863,34,127,161,252,36,12,134,107,1012,0,NA,2026-01-21
13,Kevin Durant,37,HOU,SF,39,39,1426,355,695,0.511,85,215,0.395,270,480,0.563,0.572,214,241,0.888,18,192,210,181,29,37,119,82,1009,0,NA,2026-01-21
14,Pascal Siakam,31,IND,PF,42,42,1422,372,773,0.481,76,200,0.38,296,573,0.517,0.53,173,254,0.681,69,220,289,166,50,18,94,110,993,0,NA,2026-01-21
15,Julius Randle,31,MIN,PF,44,44,1483,341,694,0.491,69,207,0.333,272,487,0.559,0.541,234,290,0.807,73,235,308,239,49,9,111,118,985,2,NA,2026-01-21
16,Nikola Jokić,30,DEN,C,32,32,1106,339,560,0.605,67,154,0.435,272,406,0.67,0.665,203,238,0.853,97,292,389,351,44,25,113,89,948,16,NA,2026-01-21
17,Stephen Curry,37,GSW,PG,35,35,1106,313,669,0.468,156,403,0.387,157,266,0.59,0.584,165,178,0.927,15,115,130,177,38,15,98,70,947,0,NA,2026-01-21
18,Jalen Johnson,24,ATL,SF,41,41,1454,351,686,0.512,67,187,0.358,284,499,0.569,0.56,172,220,0.782,60,358,418,326,51,21,141,83,941,7,NA,2026-01-21
19,Brandon Ingram,28,TOR,SF,43,43,1461,349,741,0.471,77,214,0.36,272,527,0.516,0.523,160,192,0.833,36,222,258,163,34,33,119,85,935,0,NA,2026-01-21
20,Cade Cunningham,24,DET,PG,36,36,1276,319,705,0.452,70,214,0.327,249,491,0.507,0.502,216,262,0.824,36,178,214,351,52,30,138,117,924,3,NA,2026-01-21
21,Lauri Markkanen,28,UTA,PF,33,33,1187,314,650,0.483,96,263,0.365,218,387,0.563,0.557,198,224,0.884,66,171,237,71,34,16,52,65,922,0,NA,2026-01-21
22,Trey Murphy III,25,NOP,SF,41,41,1463,320,644,0.497,129,333,0.387,191,311,0.614,0.597,140,156,0.897,47,203,250,148,63,11,77,91,909,0,NA,2026-01-21
23,Norman Powell,32,MIA,SG,38,38,1176,301,621,0.485,116,279,0.416,185,342,0.541,0.578,181,214,0.846,13,128,141,102,46,8,75,86,899,0,NA,2026-01-21
24,Nickeil Alexander-Walker,27,ATL,SG,43,36,1415,305,683,0.447,134,350,0.383,171,333,0.514,0.545,145,167,0.868,26,131,157,150,46,25,84,89,889,0,NA,2026-01-21
