Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,snapshot_date
1,Luka Dončić,26,LAL,PG,54,54,1918,570,1199,0.475,208,567,0.367,362,632,0.573,0.562,426,549,0.776,35,392,427,457,82,29,215,128,1774,7,AS,2026-03-13
2,Tyrese Maxey,25,PHI,PG,61,61,2334,616,1336,0.461,202,542,0.373,414,794,0.521,0.537,333,373,0.893,18,233,251,407,124,50,149,132,1767,0,AS,2026-03-13
3,Shai Gilgeous-Alexander,27,OKC,PG,55,55,1848,600,1083,0.554,95,248,0.383,505,835,0.605,0.598,452,505,0.895,29,219,248,365,75,45,118,112,1747,0,AS,2026-03-13
4,Jaylen Brown,29,BOS,SF,59,59,2010,616,1287,0.479,117,337,0.347,499,950,0.525,0.524,328,418,0.785,67,353,420,305,59,25,212,162,1677,3,AS,2026-03-13
5,Anthony Edwards,24,MIN,SG,56,56,1986,566,1150,0.492,194,483,0.402,372,667,0.558,0.577,323,405,0.798,34,248,282,206,79,46,157,102,1649,0,AS,2026-03-13
6,Donovan Mitchell,29,CLE,SG,58,58,1941,568,1184,0.48,198,541,0.366,370,643,0.575,0.563,308,360,0.856,44,218,262,336,90,17,173,135,1642,0,AS,2026-03-13
7,Jalen Brunson,29,NYK,PG,62,62,2159,575,1238,0.464,175,461,0.38,400,777,0.515,0.535,300,357,0.84,29,185,214,405,45,7,145,143,1625,0,AS,2026-03-13
8,Kevin Durant,37,HOU,SF,62,62,2258,565,1099,0.514,143,353,0.405,422,746,0.566,0.579,330,372,0.887,35,306,341,277,52,57,198,121,1603,0,AS,2026-03-13
9,Jamal Murray,28,DEN,PG,62,62,2169,553,1143,0.484,195,455,0.429,358,688,0.52,0.569,292,331,0.882,25,242,267,442,58,23,145,100,1593,0,AS,2026-03-13
10,Nikola Jokić,30,DEN,C,51,51,1768,515,898,0.573,95,244,0.389,420,654,0.642,0.626,338,404,0.837,155,491,646,532,73,41,192,136,1463,26,AS,2026-03-13
11,Cade Cunningham,24,DET,PG,58,58,2023,512,1115,0.459,119,342,0.348,393,773,0.508,0.513,298,368,0.81,51,276,327,579,84,52,218,184,1441,3,AS,2026-03-13
12,Kawhi Leonard,34,LAC,SF,51,51,1654,500,994,0.503,133,350,0.38,367,644,0.57,0.57,308,340,0.906,52,273,325,192,102,23,105,63,1441,0,AS,2026-03-13
13,Julius Randle,31,MIN,PF,66,66,2187,484,1008,0.48,92,299,0.308,392,709,0.553,0.526,332,406,0.818,113,346,459,342,70,16,175,189,1392,3,,2026-03-13
14,James Harden,36,2TM,PG,56,56,1960,399,927,0.43,172,471,0.365,227,456,0.498,0.523,390,440,0.886,36,236,272,452,63,22,201,107,1360,2,,2026-03-13
14,James Harden,36,LAC,PG,44,44,1559,323,771,0.419,135,389,0.347,188,382,0.492,0.506,337,374,0.901,27,185,212,358,57,16,162,83,1118,2,,2026-03-13
