Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,snapshot_date
1,Shai Gilgeous-Alexander,27,OKC,PG,23,23,767,248,446,0.556,51,115,0.443,197,331,0.595,0.613,207,235,0.881,11,98,109,148,33,16,39,46,754,0,NA,2025-12-06
2,Tyrese Maxey,25,PHI,PG,22,22,878,235,503,0.467,79,207,0.382,156,296,0.527,0.546,147,166,0.886,7,95,102,156,38,19,58,51,696,0,NA,2025-12-06
3,Donovan Mitchell,29,CLE,SG,22,22,752,233,460,0.507,85,225,0.378,148,235,0.63,0.599,122,146,0.836,20,87,107,123,32,6,76,53,673,0,NA,2025-12-06
4,Nikola Jokić,30,DEN,C,22,22,768,230,378,0.608,44,108,0.407,186,270,0.689,0.667,139,162,0.858,69,204,273,242,30,18,76,62,643,11,NA,2025-12-06
5,Jaylen Brown,29,BOS,SF,22,22,735,237,477,0.497,46,131,0.351,191,346,0.552,0.545,119,154,0.773,23,112,135,108,25,8,79,71,639,1,NA,2025-12-06
6,Lauri Markkanen,28,UTA,PF,22,22,773,203,430,0.472,66,183,0.361,137,247,0.555,0.549,136,150,0.907,48,96,144,44,18,8,26,37,608,0,NA,2025-12-06
7,Deni Avdija,25,POR,SF,23,23,793,180,377,0.477,58,154,0.377,122,223,0.547,0.554,185,227,0.815,29,137,166,143,13,14,82,73,603,2,NA,2025-12-06
8,James Harden,36,LAC,PG,22,22,774,168,384,0.438,80,216,0.37,88,168,0.524,0.542,166,184,0.902,12,108,120,184,23,9,87,45,582,2,NA,2025-12-06
9,Luka Dončić,26,LAL,PG,16,16,591,175,366,0.478,59,173,0.341,116,193,0.601,0.559,155,191,0.812,13,129,142,143,26,9,69,41,564,1,NA,2025-12-06
10,Jalen Brunson,29,NYK,PG,20,20,691,196,414,0.473,55,149,0.369,141,265,0.532,0.54,111,128,0.867,9,54,63,126,16,1,46,47,558,0,NA,2025-12-06
