Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,snapshot_date
343,Kenrich Williams,31,OKC,PF,17,0,232,36,71,0.507,14,34,0.412,22,37,0.595,0.606,4,10,0.4,13,34,47,30,10,1,9,16,90,0,NA,2026-01-07
344,Jericho Sims,27,MIL,C,28,4,418,41,49,0.837,0,0,NA,41,49,0.837,0.837,7,11,0.636,37,72,109,18,6,5,30,50,89,0,NA,2026-01-07
345,Kelly Olynyk,34,SAS,C,22,0,231,30,64,0.469,8,34,0.235,22,30,0.733,0.531,20,28,0.714,17,33,50,33,11,1,14,29,88,0,NA,2026-01-07
346,GG Jackson II,21,MEM,PF,16,2,222,32,82,0.39,8,41,0.195,24,41,0.585,0.439,15,21,0.714,5,41,46,11,12,7,8,20,87,0,NA,2026-01-07
347,Olivier-Maxence Prosper,23,MEM,PF,19,0,199,27,56,0.482,7,20,0.35,20,36,0.556,0.545,26,28,0.929,12,26,38,15,3,1,10,15,87,0,NA,2026-01-07
348,Jamison Battle,24,TOR,SF,25,1,197,33,55,0.6,16,32,0.5,17,23,0.739,0.745,4,5,0.8,7,27,34,9,4,1,8,18,86,0,NA,2026-01-07
349,Cody Williams,21,UTA,SG,22,0,302,37,92,0.402,5,36,0.139,32,56,0.571,0.429,7,12,0.583,11,18,29,13,5,4,7,29,86,0,NA,2026-01-07
350,Nick Richards,28,PHO,C,26,2,250,33,69,0.478,0,0,NA,33,69,0.478,0.478,19,28,0.679,35,55,90,8,3,14,24,38,85,0,NA,2026-01-07
351,KJ Simpson,23,CHO,PG,14,2,223,31,89,0.348,12,39,0.308,19,50,0.38,0.416,10,16,0.625,5,24,29,35,15,0,24,14,84,0,NA,2026-01-07
352,Kyle Anderson,32,UTA,SF,10,0,193,32,59,0.542,1,1,1,31,58,0.534,0.551,17,22,0.773,10,21,31,29,15,5,11,26,82,0,NA,2026-01-07
353,Baylor Scheierman,25,BOS,SG,31,0,352,30,61,0.492,21,50,0.42,9,11,0.818,0.664,1,1,1,10,39,49,19,12,2,12,44,82,0,NA,2026-01-07
354,Zeke Nnaji,25,DEN,PF,23,1,235,27,49,0.551,8,22,0.364,19,27,0.704,0.633,17,21,0.81,9,34,43,7,8,8,9,25,79,0,NA,2026-01-07
355,Jeremiah Robinson-Earl,25,IND,PF,17,3,300,29,83,0.349,8,33,0.242,21,50,0.42,0.398,13,14,0.929,32,56,88,12,7,1,10,23,79,0,NA,2026-01-07
356,Garrison Mathews,29,IND,SG,15,1,196,21,52,0.404,17,46,0.37,4,6,0.667,0.567,19,23,0.826,2,15,17,10,6,3,3,19,78,0,NA,2026-01-07
357,Julian Phillips,22,CHI,SF,26,2,265,30,70,0.429,13,40,0.325,17,30,0.567,0.521,5,6,0.833,18,18,36,7,15,6,5,29,78,0,NA,2026-01-07
358,Kobe Brown,26,LAC,PF,23,0,241,25,66,0.379,10,42,0.238,15,24,0.625,0.455,17,20,0.85,13,29,42,22,7,2,11,13,77,0,NA,2026-01-07
359,Cam Christie,20,LAC,SG,22,0,207,23,67,0.343,9,31,0.29,14,36,0.389,0.41,21,30,0.7,8,30,38,12,6,2,6,12,76,0,NA,2026-01-07
360,Duop Reath,29,POR,C,27,0,198,27,60,0.45,19,43,0.442,8,17,0.471,0.608,2,3,0.667,5,17,22,8,5,4,7,22,75,0,NA,2026-01-07
361,Ousmane Dieng,22,OKC,C,17,0,213,27,61,0.443,14,32,0.438,13,29,0.448,0.557,6,6,1,6,24,30,15,1,5,6,18,74,0,NA,2026-01-07
362,Walker Kessler,24,UTA,C,5,5,154,26,37,0.703,6,8,0.75,20,29,0.69,0.784,14,20,0.7,23,31,54,15,7,9,16,22,72,0,NA,2026-01-07
363,Jordan Miller,26,LAC,SF,14,0,171,21,43,0.488,8,19,0.421,13,24,0.542,0.581,21,24,0.875,12,22,34,15,4,3,11,11,71,0,NA,2026-01-07
364,Ethan Thompson,26,IND,SG,15,5,262,26,67,0.388,15,47,0.319,11,20,0.55,0.5,4,6,0.667,10,18,28,23,8,4,9,33,71,0,NA,2026-01-07
365,Gary Harris,31,MIL,SG,26,0,382,26,54,0.481,13,30,0.433,13,24,0.542,0.602,5,5,1,7,29,36,25,15,4,11,34,70,0,NA,2026-01-07
366,Malaki Branham,22,WAS,SG,19,0,153,22,49,0.449,5,20,0.25,17,29,0.586,0.5,19,24,0.792,7,23,30,12,2,1,9,14,68,0,NA,2026-01-07
367,Rayan Rupert,21,POR,SG,30,0,303,28,77,0.364,10,37,0.27,18,40,0.45,0.429,2,4,0.5,10,39,49,16,8,2,10,36,68,0,NA,2026-01-07
368,Julian Strawther,23,DEN,SG,18,0,169,22,61,0.361,5,27,0.185,17,34,0.5,0.402,19,26,0.731,2,22,24,14,1,1,8,18,68,0,NA,2026-01-07
369,John Konchar,29,MEM,SG,22,0,286,26,51,0.51,9,28,0.321,17,23,0.739,0.598,6,9,0.667,12,47,59,27,19,7,7,19,67,0,NA,2026-01-07
370,Gabe Vincent,29,LAL,PG,14,6,301,21,60,0.35,17,47,0.362,4,13,0.308,0.492,7,7,1,4,8,12,20,7,1,6,35,66,0,NA,2026-01-07
371,Ben Saraf,19,BRK,SG,12,5,203,22,62,0.355,9,33,0.273,13,29,0.448,0.427,12,15,0.8,5,14,19,34,8,3,23,15,65,0,NA,2026-01-07
372,RayJ Dennis,24,2TM,PG,14,0,172,22,72,0.306,12,38,0.316,10,34,0.294,0.389,8,9,0.889,8,15,23,26,3,4,15,16,64,0,NA,2026-01-07
372,RayJ Dennis,24,IND,PG,13,0,168,22,72,0.306,12,38,0.316,10,34,0.294,0.389,8,9,0.889,8,13,21,26,3,4,14,16,64,0,NA,2026-01-07
372,RayJ Dennis,24,LAC,PG,1,0,4,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,2,2,0,0,0,1,0,0,0,NA,2026-01-07
373,Dwight Powell,34,DAL,C,24,1,293,19,31,0.613,0,0,NA,19,31,0.613,0.613,26,40,0.65,26,42,68,21,11,8,10,48,64,0,NA,2026-01-07
374,Carter Bryant,20,SAS,PF,28,0,216,22,71,0.31,10,39,0.256,12,32,0.375,0.38,6,8,0.75,9,34,43,5,4,2,9,22,60,0,NA,2026-01-07
375,Yanic Konan Niederhäuser,22,LAC,C,18,0,158,24,37,0.649,0,1,0,24,36,0.667,0.649,12,21,0.571,17,22,39,6,2,8,8,22,60,0,NA,2026-01-07
376,Micah Potter,27,IND,C,7,2,141,16,32,0.5,9,22,0.409,7,10,0.7,0.641,19,20,0.95,4,25,29,13,2,3,6,15,60,0,NA,2026-01-07
377,Moussa Cisse,23,DAL,C,20,1,200,23,38,0.605,0,0,NA,23,38,0.605,0.605,13,31,0.419,30,39,69,3,5,20,14,31,59,0,NA,2026-01-07
378,Jae'Sean Tate,30,HOU,SF,21,0,166,25,48,0.521,6,15,0.4,19,33,0.576,0.583,3,3,1,14,17,31,12,4,3,4,26,59,0,NA,2026-01-07
379,Dalen Terry,23,CHI,SG,21,0,224,25,55,0.455,6,23,0.261,19,32,0.594,0.509,3,7,0.429,11,24,35,25,12,5,13,22,59,0,NA,2026-01-07
380,PJ Hall,23,2TM,C,13,2,129,22,37,0.595,3,5,0.6,19,32,0.594,0.635,12,17,0.706,17,24,41,6,1,8,7,13,59,0,NA,2026-01-07
380,PJ Hall,23,MEM,C,7,0,27,5,9,0.556,1,3,0.333,4,6,0.667,0.611,2,3,0.667,3,6,9,2,0,2,1,3,13,0,NA,2026-01-07
380,PJ Hall,23,CHO,C,6,2,102,17,28,0.607,2,2,1,15,26,0.577,0.643,10,14,0.714,14,18,32,4,1,6,6,10,46,0,NA,2026-01-07
381,Mohamed Diawara,20,NYK,SF,28,4,148,22,54,0.407,12,29,0.414,10,25,0.4,0.519,1,4,0.25,5,21,26,14,8,4,8,14,57,0,NA,2026-01-07
382,Larry Nance Jr.,33,CLE,PF,16,2,240,23,65,0.354,10,33,0.303,13,32,0.406,0.431,1,3,0.333,13,32,45,20,9,4,9,38,57,0,NA,2026-01-07
383,Pat Connaughton,33,CHO,SG,17,0,131,19,38,0.5,10,25,0.4,9,13,0.692,0.632,7,11,0.636,5,20,25,9,5,1,3,5,55,0,NA,2026-01-07
384,Josh Green,25,CHO,SG,12,0,188,20,45,0.444,14,36,0.389,6,9,0.667,0.6,1,2,0.5,10,10,20,13,8,0,3,12,55,0,NA,2026-01-07
385,Nolan Traoré,19,BRK,PG,13,0,193,19,57,0.333,8,28,0.286,11,29,0.379,0.404,7,9,0.778,1,12,13,27,6,4,15,18,53,0,NA,2026-01-07
386,Kasparas Jakučionis,19,MIA,PG,12,1,169,15,45,0.333,12,26,0.462,3,19,0.158,0.467,10,10,1,9,14,23,12,8,0,7,17,52,0,NA,2026-01-07
387,Marcus Sasser,25,DET,PG,8,0,75,17,29,0.586,11,18,0.611,6,11,0.545,0.776,7,7,1,1,9,10,16,5,2,6,9,52,0,NA,2026-01-07
388,Yang Hansen,20,POR,C,20,1,154,16,53,0.302,3,22,0.136,13,31,0.419,0.33,15,16,0.938,9,26,35,14,1,8,15,22,50,0,NA,2026-01-07
389,Bradley Beal,32,LAC,SG,6,6,121,18,48,0.375,7,19,0.368,11,29,0.379,0.448,6,8,0.75,2,3,5,10,3,0,9,14,49,0,NA,2026-01-07
390,Rasheer Fleming,21,PHO,PF,20,0,139,18,55,0.327,6,31,0.194,12,24,0.5,0.382,7,9,0.778,15,11,26,3,5,5,3,17,49,0,NA,2026-01-07
